User,Prompt
"""Give me a Hotcakes and Sausage breakfast platter with extra syrup and a small orange juice""","""Hotcakes and Sausage Platter, 1, extra syrup; Orange Juice, 1, small;"""
"""I'd like a Big Mac, extra lettuce, a large Coke, and a side of ketchup""","""Big Mac, 1, extra lettuce; Coke, 1, large; Ketchup, 1,"""
"""Can I have a McFlurry with M&M's and a small fries, please""","""McFlurry with M&M's, 1,; Fries, 1, small;"""
"""I'll take a Southwest Grilled Chicken Wrap, no tomatoes, and a medium iced coffee with cream""","""Southwest Grilled Chicken Wrap, 1, no tomatoes; Iced Coffee,"""
"""May I get a Double Quarter Pounder with Cheese, extra mustard, and a small Sprite""","""Double Quarter Pounder with Cheese, 1, extra mustard; Sprite, 1, small;"""
"""I want a McChicken, no lettuce, and a medium chocolate shake""","""McChicken, 1, no lettuce; Chocolate Shake, 1, medium;"""
"""Give me a Bacon, Egg & Cheese Bagel and a hash brown, please""","""Bacon, Egg & Cheese Bagel, 1,; Hash Brown, 1,"""
"""I'd like a Deluxe Crispy Chicken Sandwich, add pickles, and a small Diet Coke""","""Deluxe Crispy Chicken Sandwich, 1, add pickles; Diet Coke, 1, small;"""
"""Can I please have a Fruit 'N Yogurt Parfait and a small caramel frappe?""","""Fruit 'N Yogurt Parfait, 1,; Caramel Frappe, 1, small;"""
"""I'll have a Bacon, Egg & Cheese McGriddles and a hash brown, please""","""Bacon, Egg & Cheese McGriddles, 1,; Hash Brown, 1,"""
"""May I get a Spicy McChicken, add lettuce, and a medium orange juice?""","""Spicy McChicken, 1, add lettuce; Orange Juice, 1, medium;"""
"""Give me a Hotcakes and Sausage breakfast platter with extra syrup and a small orange juice""","""Hotcakes and Sausage Platter, 1, extra syrup; Orange Juice, 1, small;"""
"""I'd like a Big Mac, extra lettuce, a large Coke, and a side of ketchup""","""Big Mac, 1, extra lettuce; Coke, 1, large; Ketchup, 1,"""
"""Can I have a McFlurry with M&M's and a small fries, please""","""McFlurry with M&M's, 1,; Fries, 1, small;"""
"""I'll take a Southwest Grilled Chicken Wrap, no tomatoes, and a medium iced coffee with cream""","""Southwest Grilled Chicken Wrap, 1, no tomatoes; Iced Coffee,"""
"""May I get a Double Quarter Pounder with Cheese, extra mustard, and a small Sprite""","""Double Quarter Pounder with Cheese, 1, extra mustard; Sprite, 1, small;"""
"""I want a McChicken, no lettuce, and a medium chocolate shake""","""McChicken, 1, no lettuce; Chocolate Shake, 1, medium;"""
"""Give me a Bacon, Egg & Cheese Bagel and a hash brown, please""","""Bacon, Egg & Cheese Bagel, 1,; Hash Brown, 1,"""
"""I'd like a Deluxe Crispy Chicken Sandwich, add pickles, and a small Diet Coke""","""Deluxe Crispy Chicken Sandwich, 1, add pickles; Diet Coke, 1, small;"""
"""Can I please have a Fruit 'N Yogurt Parfait and a small caramel frappe?""","""Fruit 'N Yogurt Parfait, 1,; Caramel Frappe, 1, small;"""
"""I'll have a Bacon, Egg & Cheese McGriddles and a hash brown, please""","""Bacon, Egg & Cheese McGriddles, 1,; Hash Brown, 1,"""
"""May I get a Spicy McChicken, add lettuce, and a medium orange juice?""","""Spicy McChicken, 1, add lettuce; Orange Juice, 1, medium;"""
"""Give me a Hotcakes and Sausage breakfast platter with extra syrup and a small orange juice""","""Hotcakes and Sausage Platter, 1, extra syrup; Orange Juice, 1, small;"""
"""I'd like a Big Mac, extra lettuce, a large Coke, and a side of ketchup""","""Big Mac, 1, extra lettuce; Coke, 1, large; Ketchup, 1,"""
"""Can I have a McFlurry with M&M's and a small fries, please""","""McFlurry with M&M's, 1,; Fries, 1, small;"""
"""I'll take a Southwest Grilled Chicken Wrap, no tomatoes, and a medium iced coffee with cream""","""Southwest Grilled Chicken Wrap, 1, no tomatoes; Iced Coffee,"""
"""May I get a Double Quarter Pounder with Cheese, extra mustard, and a small Sprite""","""Double Quarter Pounder with Cheese, 1, extra mustard; Sprite, 1, small;"""
"""I want a McChicken, no lettuce, and a medium chocolate shake""","""McChicken, 1, no lettuce; Chocolate Shake, 1, medium;"""
"""Give me a Bacon, Egg & Cheese Bagel and a hash brown, please""","""Bacon, Egg & Cheese Bagel, 1,; Hash Brown, 1,"""
"""I'd like a Deluxe Crispy Chicken Sandwich, add pickles, and a small Diet Coke""","""Deluxe Crispy Chicken Sandwich, 1, add pickles; Diet Coke, 1, small;"""
"""Can I please have a Fruit 'N Yogurt Parfait and a small caramel frappe?""","""Fruit 'N Yogurt Parfait, 1,; Caramel Frappe, 1, small;"""
"""I'll have a Bacon, Egg & Cheese McGriddles and a hash brown, please""","""Bacon, Egg & Cheese McGriddles, 1,; Hash Brown, 1,"""
"""May I get a Spicy McChicken, add lettuce, and a medium orange juice?""","""Spicy McChicken, 1, add lettuce; Orange Juice, 1, medium;"""
"""Give me a Hotcakes and Sausage breakfast platter with extra syrup and a small orange juice""","""Hotcakes and Sausage Platter, 1, extra syrup; Orange Juice, 1, small;"""
"""I'd like a Big Mac, extra lettuce, a large Coke, and a side of ketchup""","""Big Mac, 1, extra lettuce; Coke, 1, large; Ketchup, 1,"""
"""Can I have a McFlurry with M&M's and a small fries, please""","""McFlurry with M&M's, 1,; Fries, 1, small;"""
"""I'll take a Southwest Grilled Chicken Wrap, no tomatoes, and a medium iced coffee with cream""","""Southwest Grilled Chicken Wrap, 1, no tomatoes; Iced Coffee,"""
"""May I get a Double Quarter Pounder with Cheese, extra mustard, and a small Sprite""","""Double Quarter Pounder with Cheese, 1, extra mustard; Sprite, 1, small;"""
"""I want a McChicken, no lettuce, and a medium chocolate shake""","""McChicken, 1, no lettuce; Chocolate Shake, 1, medium;"""
"""Give me a Bacon, Egg & Cheese Bagel and a hash brown, please""","""Bacon, Egg & Cheese Bagel, 1,; Hash Brown, 1,"""
"""I'd like a Deluxe Crispy Chicken Sandwich, add pickles, and a small Diet Coke""","""Deluxe Crispy Chicken Sandwich, 1, add pickles; Diet Coke, 1, small;"""
"""Can I please have a Fruit 'N Yogurt Parfait and a small caramel frappe?""","""Fruit 'N Yogurt Parfait, 1,; Caramel Frappe, 1, small;"""
"""I'll have a Bacon, Egg & Cheese McGriddles and a hash brown, please""","""Bacon, Egg & Cheese McGriddles, 1,; Hash Brown, 1,"""
"""May I get a Spicy McChicken, add lettuce, and a medium orange juice?""","""Spicy McChicken, 1, add lettuce; Orange Juice, 1, medium;"""
"""Give me a Hotcakes and Sausage breakfast platter with extra syrup and a small orange juice""","""Hotcakes and Sausage Platter, 1, extra syrup; Orange Juice, 1, small;"""
"""I'd like a Big Mac, extra lettuce, a large Coke, and a side of ketchup""","""Big Mac, 1, extra lettuce; Coke, 1, large; Ketchup, 1,"""
"""Can I have a McFlurry with M&M's and a small fries, please""","""McFlurry with M&M's, 1,; Fries, 1, small;"""
"""I'll take a Southwest Grilled Chicken Wrap, no tomatoes, and a medium iced coffee with cream""","""Southwest Grilled Chicken Wrap, 1, no tomatoes; Iced Coffee,"""
"""May I get a Double Quarter Pounder with Cheese, extra mustard, and a small Sprite""","""Double Quarter Pounder with Cheese, 1, extra mustard; Sprite, 1, small;"""
"""I want a McChicken, no lettuce, and a medium chocolate shake""","""McChicken, 1, no lettuce; Chocolate Shake, 1, medium;"""
"""Give me a Bacon, Egg & Cheese Bagel and a hash brown, please""","""Bacon, Egg & Cheese Bagel, 1,; Hash Brown, 1,"""
"""I'd like a Deluxe Crispy Chicken Sandwich, add pickles, and a small Diet Coke""","""Deluxe Crispy Chicken Sandwich, 1, add pickles; Diet Coke, 1, small;"""
"""Can I please have a Fruit 'N Yogurt Parfait and a small caramel frappe?""","""Fruit 'N Yogurt Parfait, 1,; Caramel Frappe, 1, small;"""
"""I'll have a Bacon, Egg & Cheese McGriddles and a hash brown, please""","""Bacon, Egg & Cheese McGriddles, 1,; Hash Brown, 1,"""
"""May I get a Spicy McChicken, add lettuce, and a medium orange juice?""","""Spicy McChicken, 1, add lettuce; Orange Juice, 1, medium;"""
"""Give me a Hotcakes and Sausage breakfast platter with extra syrup and a small orange juice""","""Hotcakes and Sausage Platter, 1, extra syrup; Orange Juice, 1, small;"""
"""I'd like a Big Mac, extra lettuce, a large Coke, and a side of ketchup""","""Big Mac, 1, extra lettuce; Coke, 1, large; Ketchup, 1,"""

